div_num,sch_num,sch_name
029,0590,Woodley Hills Elementary School
029,0620,Cameron Elementary
029,0620,Cameron Elementary School
029,0630,Garfield Elementary
029,0630,Garfield Elementary School
029,0650,Woodburn Elementary
029,0650,Woodburn Elementary School
029,0660,Annandale High
029,0660,Annandale High School
029,0673,Jackson Middle
029,0673,Luther Jackson Middle School
029,0680,Bush Hill Elementary
029,0680,Bush Hill Elementary School
029,0690,Gunston Elementary
029,0690,Gunston Elementary School
029,0700,Bucknell Elementary
029,0700,Bucknell Elementary School
029,0710,Sleepy Hollow Elementary
029,0710,Sleepy Hollow Elementary School
029,0720,Belvedere Elementary
029,0720,Belvedere Elementary School
029,0730,Flint Hill Elementary
029,0730,Flint Hill Elementary School
029,0740,Floris Elementary
029,0740,Floris Elementary School
029,0750,Haycock Elementary
029,0750,Haycock Elementary School
029,0770,Lemon Road Elementary
029,0770,Lemon Road Elementary School
029,0790,McLean High
029,0790,McLean High School
029,0790,Mclean High
029,0800,Navy Elementary
029,0800,Navy Elementary School
029,0820,Pine Spring Elementary
029,0820,Pine Spring Elementary School
029,0830,Timber Lane Elementary
029,0830,Timber Lane Elementary School
029,0850,Wakefield Forest Elementary
029,0850,Wakefield Forest Elementary School
029,0870,Crestwood Elementary
029,0870,Crestwood Elementary School
029,0890,Lynbrook Elementary
029,0890,Lynbrook Elementary School
029,0900,West Potomac High
029,0900,West Potomac High School
029,0930,North Springfield Elementary
029,0930,North Springfield Elementary School
029,0940,Bren Mar Park Elementary
029,0940,Bren Mar Park Elementary School
029,0950,Rose Hill Elementary
029,0950,Rose Hill Elementary School
029,0960,Springfield Estates Elementary
029,0960,Springfield Estates Elementary School
029,0970,Glen Forest Elementary
029,0970,Glen Forest Elementary School
029,0980,Kent Gardens Elementary
029,0980,Kent Gardens Elementary School
029,1020,Lee High
029,1020,Robert E. Lee High School
029,1030,Parklawn Elementary
029,1030,Parklawn Elementary School
029,1050,Churchill Road Elementary
029,1050,Churchill Road Elementary School
029,1060,James Madison High School
029,1060,Madison High
029,1070,J.E.B. Stuart High School
029,1070,Stuart High
029,1080,Waynewood Elementary
029,1080,Waynewood Elementary School
029,1090,Braddock Elementary
029,1090,Braddock Elementary School
029,1100,Falls Church High
029,1100,Falls Church High School
029,1110,Lanier Middle
029,1110,Sidney Lanier Middle School
029,1120,Irving Middle
029,1120,Washington Irving Middle School
029,1130,Edgar Allen Poe Middle School
029,1130,Poe Middle
029,1140,Henry David Thoreau Middle School
029,1140,Thoreau Middle
029,1150,Henry Wadsworth Longfellow Middle School
029,1150,Longfellow Middle
029,1160,Mark Twain Middle School
029,1160,Twain Middle
029,1170,Ellen Glasgow Middle School
029,1170,Glasgow Middle
029,1190,Cooper Middle
029,1190,James Fenimore Cooper Middle School
029,1200,Marshall Road Elementary
029,1200,Marshall Road Elementary School
029,1210,Mantua Elementary
029,1210,Mantua Elementary School
029,1240,Keene Mill Elementary
029,1240,Keene Mill Elementary School
029,1250,Herndon Elementary
029,1250,Herndon Elementary School
